Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
101, fuzz_spec, ( ( x < ( x * -10000 ) && x >= ( n + x ) ) || ( x == ( 10000 * 0 ) && x > ( n + -10000 ) ) || n >= x ), Passed, Yes, "None",  15,  273.85
103, fuzz_spec, ( x <= 100 || ( x == ( 100 + x ) && x > ( x - 100 ) ) ), Passed, Yes, "[x <= 100]",  12,  22.03
104, fuzz_spec, ( ( x == ( n * 0 ) || n >= ( 1 * x ) ) ), Passed, Yes, "[Or(x == 0, n >= x)]",  10,  39.27
105, fuzz_spec, ( x < 1 || ( x == ( x * n ) && n < ( 0 * n ) ) || ( n >= 1 && n >= x ) ), Passed, Yes, "[Or(And(n >= 1, n >= x),
    Not(1 <= x),
    And(x == n*x, Not(0 <= n)))]",  7,  14.64
10, fuzz_spec, ( x > ( y * x ) || x <= ( x + y ) ), Failed, Yes, "[Or(Not(x <= x*y), 0 <= y)]",  3,  4.04
116, fuzz_spec, ( ( sn == x && sn > ( -1 + x ) ) ), Passed, Yes, "None",  11,  21.15
11, fuzz_spec, ( y > ( x * y ) || y <= ( y + x ) ), Failed, Yes, "[Or(Not(y <= x*y), 0 <= x)]",  3,  3.97
120, fuzz_spec, ( ( i == ( sn + 1 ) && i == ( 0 + i ) ) ), Failed, Yes, "[]",  22,  84.23
128, fuzz_spec, ( ( x >= 1 && y == ( 1 * y ) ) || ( x > ( 1 - x ) && x < ( y - 1 ) ) ), Passed, Yes, "[Or(x >= 1, And(Not(x <= 0), Not(y <= 1 + x)))]",  9,  18.09
129, fuzz_spec, ( ( x >= 1 && y < ( 1 * x ) ) || x >= 1 || y >= 1 ), Passed, Yes, "[Or(And(x >= 1, Not(x <= y)), x >= 1, y >= 1)]",  8,  12.14
12, fuzz_spec, ( y > ( x + 20 ) ), Failed, Yes, "[Not(y <= 20 + x)]",  10,  13.52
133, fuzz_spec, ( x < ( 1 * 0 ) || n >= ( x + 0 ) ), Failed, Yes, "[Or(Not(0 <= x), n >= x)]",  1,  1.33
13, fuzz_spec, ( y > ( x * y ) || y <= ( y + x ) ), Failed, Yes, "[Or(Not(y <= x*y), 0 <= x)]",  3,  4.00
14, fuzz_spec, ( y <= ( y - y ) || x >= ( 0 * x ) ), Failed, Yes, "[Or(y <= 0, x >= 0)]",  2,  2.67
15, fuzz_spec, ( m <= ( m * 0 ) && ( x > ( m - 0 ) || x >= m ) ), Failed, Yes, "[m <= 0, Or(Not(x <= m), x >= m)]",  20,  32.87
16, fuzz_spec, ( m <= ( m * x ) || ( x < ( 0 + n ) && n >= 1 ) ), Failed, Yes, "[Or(m <= m*x, And(Not(n <= x), n >= 1))]",  20,  33.21
17, fuzz_spec, ( x >= ( m - 1 ) || n <= 1 || ( m > ( 1 * x ) && x == x ) ), Failed, Yes, "[Or(n <= 1, x >= -1 + m, Not(m <= x))]",  2,  2.66
18, fuzz_spec, ( ( m < ( m + -10000 ) || m <= ( m + m ) ) ), Failed, Yes, "None",  7,  9.34
19, fuzz_spec, ( n == 0 || m < n || ( x <= 0 && n <= ( 0 - n ) ) ), Passed, Yes, "[Or(Not(n <= m), n == 0, And(x <= 0, n <= 0))]",  32,  148.87
20, fuzz_spec, ( x >= 0 && x <= ( x + m ) && x == ( 0 + x ) ), Passed, Yes, "[x >= 0, 0 <= m]",  26,  488.77
21, fuzz_spec, ( m > ( 1 - 10000 ) || n > ( -10000 + 10000 ) ), Failed, Yes, "None",  2,  2.71
